Type      , Summary                                   , Description                                                                                                  , Epic                                      , Priority, State, Assignee     , Sprint  , Estimation, Tags      , Story Points, Acceptance Criteria                           , Technical Notes, Dependencies
Task      , S0-T014 Wireframe: Landing Page           , "Esquema de secciones: Hero, Features, CTA, Footer."                                                         , S0-HU05 Wireframes (Baja Fidelidad)       , High    , To Do, Designer     , Sprint 0, 2h        , design    ,            0, Estructura aprobada                           , -              , S0-T001
Task      , S0-T015 Wireframe: Dashboard Usuario      , "Esquema de layout: Sidebar lateral, Header, Área de contenido."                                             , S0-HU05 Wireframes (Baja Fidelidad)       , High    , To Do, Designer     , Sprint 0, 2h        , design    ,            0, Estructura aprobada                           , -              , S0-T002
Task      , S0-T016 Wireframe: Listado Torneos        , "Esquema de filtros y cards."                                                                                , S0-HU05 Wireframes (Baja Fidelidad)       , High    , To Do, Designer     , Sprint 0, 2h        , design    ,            0, Estructura aprobada                           , -              , S0-T002
Task      , S0-T017 Wireframe: Checkout               , "Esquema de pasos de compra."                                                                                , S0-HU05 Wireframes (Baja Fidelidad)       , High    , To Do, Designer     , Sprint 0, 2h        , design    ,            0, Estructura aprobada                           , -              , S0-T003
User Story, S0-HU06 Mockups (Alta Fidelidad)          , "Como desarrollador frontend, quiero ver el diseño final pixel-perfect para maquetarlo igual."               , S0-E01 Diseño UX/UI                       , Critical, To Do, Designer     , Sprint 0, 16h       , design    ,            8, "Diseños finales en Figma"                    , -              , -
Task      , S0-T018 UI Kit: Átomos                    , "Diseñar estado final de Botones, Inputs, Badges, Tooltips."                                                 , S0-HU06 Mockups (Alta Fidelidad)          , Critical, To Do, Designer     , Sprint 0, 4h        , design    ,            0, "Estados: Default, Hover, Active, Disabled"   , -              , S0-T011
Task      , S0-T019 Mockup: Login & Register          , "Diseño final de pantallas de acceso con branding."                                                          , S0-HU06 Mockups (Alta Fidelidad)          , High    , To Do, Designer     , Sprint 0, 3h        , design    ,            0, Diseño aprobado                               , -              , S0-T018
Task      , S0-T020 Mockup: Home Page                 , "Diseño final de la Landing con imágenes reales."                                                            , S0-HU06 Mockups (Alta Fidelidad)          , High    , To Do, Designer     , Sprint 0, 3h        , design    ,            0, Diseño aprobado                               , -              , S0-T014
Task      , S0-T021 Mockup: Grid Torneos              , "Diseño visual de las tarjetas de torneo."                                                                   , S0-HU06 Mockups (Alta Fidelidad)          , High    , To Do, Designer     , Sprint 0, 3h        , design    ,            0, Diseño aprobado                               , -              , S0-T016
Task      , S0-T022 Mockup: Ficha Producto            , "Diseño visual de detalle de producto tienda."                                                               , S0-HU06 Mockups (Alta Fidelidad)          , Medium  , To Do, Designer     , Sprint 0, 3h        , design    ,            0, Diseño aprobado                               , -              , S0-T017
Epic      , S0-E02 Setup DevOps                       , "Infraestructura base. Sin esto no empezamos."                                                               , TierOne Project                           , Critical, To Do, DevOps       , Sprint 0, 0h        , setup     ,            0, Todas las historias completadas               , -              , -
User Story, S0-HU07 Entorno Local Dockerizado         , "Como desarrollador, quiero levantar todo el proyecto con un comando para no instalar PHP/Mongo en mi PC."   , S0-E02 Setup DevOps                       , Critical, To Do, DevOps       , Sprint 0, 12h       , setup     ,            5, "docker-compose up funciona"                  , -              , -
Task      , S0-T023 Git Init & Ramas                  , "Crear repo, proteger 'main', crear 'develop'. Configurar .gitignore robusto."                               , S0-HU07 Entorno Local Dockerizado         , Critical, To Do, DevOps       , Sprint 0, 1h        , config    ,            0, Repo inicializado                             , -              , -
Task      , S0-T024 Docker Network                    , "Definir red interna 'tierone-network' para comunicación entre contenedores."                                , S0-HU07 Entorno Local Dockerizado         , Critical, To Do, DevOps       , Sprint 0, 1h        , docker    ,            0, Red creada                                    , -              , S0-T023
Task      , S0-T025 Docker Service: PHP-FPM           , "Crear Dockerfile custom para PHP 8.2. Instalar extensiones: bcmath, mongodb, intl."                         , S0-HU07 Entorno Local Dockerizado         , Critical, To Do, DevOps       , Sprint 0, 3h        , docker    ,            0, Verificar php -m                              , -              , S0-T024
Task      , S0-T026 Docker Service: Nginx             , "Configurar Nginx (site.conf) para servir archivos de Laravel."                                              , S0-HU07 Entorno Local Dockerizado         , Critical, To Do, DevOps       , Sprint 0, 2h        , docker    ,            0, Servidor web activo                           , -              , S0-T025
Task      , S0-T027 Docker Service: MongoDB           , "Configurar contenedor Mongo con volumen persistente para datos."                                            , S0-HU07 Entorno Local Dockerizado         , Critical, To Do, DevOps       , Sprint 0, 1h        , docker    ,            0, Base de datos activa                          , -              , S0-T024
Task      , S0-T028 Script de Inicio                  , "Crear Makefile o script bash para simplificar comandos (start, stop, logs)."                                , S0-HU07 Entorno Local Dockerizado         , Low     , To Do, DevOps       , Sprint 0, 1h        , dx        ,            0, Script funcional                              , -              , "S0-T026;S0-T027"
Task      , S0-T029 Pruebas de Conectividad           , "Verificar que PHP puede escribir en Mongo desde dentro del contenedor."                                     , S0-HU07 Entorno Local Dockerizado         , High    , To Do, DevOps       , Sprint 0, 1h        , qa        ,            0, Conexión verificada                           , -              , S0-T028
User Story, S0-HU08 Inicialización de Proyectos       , "Como equipo, queremos tener las carpetas de Laravel y Next.js creadas y limpias."                           , S0-E02 Setup DevOps                       , Critical, To Do, Full Stack   , Sprint 0, 8h        , setup     ,            3, "Proyectos base compilando"                   , -              , -
Task      , S0-T030 Laravel Install                   , "Ejecutar composer create-project. Limpiar migraciones SQL default."                                         , S0-HU08 Inicialización de Proyectos       , Critical, To Do, Backend Dev  , Sprint 0, 1h        , config    ,            0, Framework instalado                           , -              , S0-T023
Task      , S0-T031 Laravel Mongo Driver              , "Instalar 'mongodb/laravel-mongodb'. Configurar config/database.php."                                        , S0-HU08 Inicialización de Proyectos       , Critical, To Do, Backend Dev  , Sprint 0, 2h        , config    ,            0, Driver configurado                            , -              , S0-T030
Task      , S0-T032 Next.js Install                   , "Instalar Next.js con flags: --js --tailwind --eslint."                                                      , S0-HU08 Inicialización de Proyectos       , Critical, To Do, Frontend Dev , Sprint 0, 1h        , config    ,            0, Framework instalado                           , -              , S0-T023
Task      , S0-T033 Limpieza Frontend                 , "Borrar globals.css default y página de ejemplo."                                                            , S0-HU08 Inicialización de Proyectos       , Low     , To Do, Frontend Dev , Sprint 0, 1h        , frontend  ,            0, Proyecto limpio                               , -              , S0-T032
Task      , S0-T034 Configurar Tailwind               , "Aplicar colores definidos en S0-T011 al archivo tailwind.config.js."                                        , S0-HU08 Inicialización de Proyectos       , High    , To Do, Frontend Dev , Sprint 0, 1h        , frontend  ,            0, Tailwind configurado                          , -              , "S0-T032;S0-T011"
Epic      , S1-E01 Frontend: Design System            , "Construcción de piezas de LEGO (Componentes)."                                                              , TierOne Project                           , Critical, To Do, Frontend Dev , Sprint 1, 0h        , frontend  ,            0, Todas las historias completadas               , -              , -
User Story, S1-HU09 Componentes Átomos                , "Como frontend dev, quiero tener los componentes básicos (botones, inputs) listos para reutilizar."          , S1-E01 Frontend: Design System            , Critical, To Do, Frontend Dev , Sprint 1, 12h       , ui        ,            5, "Storybook o página de prueba con componentes", -              , -
Task      , S1-T035 Componente Button                 , "Crear <Button> con props: variant (primary, ghost), size (sm, md, lg), loading (bool)."                     , S1-HU09 Componentes Átomos                , Critical, To Do, Frontend Dev , Sprint 1, 3h        , ui        ,            0, Debe coincidir con Figma                      , -              , "S0-T018;S0-T034"
Task      , S1-T036 Componente Input                  , "Crear <Input> soportando ref, error message y label."                                                       , S1-HU09 Componentes Átomos                , Critical, To Do, Frontend Dev , Sprint 1, 2h        , ui        ,            0, Input funcional                               , -              , "S0-T018;S0-T034"
Task      , S1-T037 Componente Badge                  , "Crear <Badge> para estados (Rookie, Pro, Activo, Cerrado)."                                                 , S1-HU09 Componentes Átomos                , Medium  , To Do, Frontend Dev , Sprint 1, 2h        , ui        ,            0, Badge funcional                               , -              , "S0-T018;S0-T034"
Task      , S1-T038 Componente Avatar                 , "Crear <Avatar> circular que acepte imagen o muestre iniciales."                                             , S1-HU09 Componentes Átomos                , Medium  , To Do, Frontend Dev , Sprint 1, 2h        , ui        ,            0, Avatar funcional                              , -              , "S0-T018;S0-T034"
Task      , S1-T039 Componente Typography             , "Crear componentes <Heading> y <Text> para forzar uso correcto de fuentes."                                  , S1-HU09 Componentes Átomos                , Medium  , To Do, Frontend Dev , Sprint 1, 2h        , ui        ,            0, Tipografía consistente                        , -              , "S0-T012;S0-T034"
User Story, S1-HU10 Componentes Moléculas y Organismos, "Como frontend dev, quiero componentes complejos formados por átomos."                                       , S1-E01 Frontend: Design System            , High    , To Do, Frontend Dev , Sprint 1, 12h       , ui        ,            5, "Componentes funcionales"                     , -              , -
Task      , S1-T040 Molécula FormField                , "Componente que agrupa Label + Input + Mensaje de Error."                                                    , S1-HU10 Componentes Moléculas y Organismos, Critical, To Do, Frontend Dev , Sprint 1, 2h        , ui        ,            0, Formulario modular                            , -              , S1-T036
Task      , S1-T041 Molécula GameCard                 , "Tarjeta que muestra imagen de juego, título y número de torneos."                                           , S1-HU10 Componentes Moléculas y Organismos, High    , To Do, Frontend Dev , Sprint 1, 3h        , ui        ,            0, Card visual                                   , -              , S1-T039
Task      , S1-T042 Molécula UserMenu                 , "Dropdown del header con opciones de perfil y logout."                                                       , S1-HU10 Componentes Moléculas y Organismos, High    , To Do, Frontend Dev , Sprint 1, 3h        , ui        ,            0, Menú funcional                                , -              , S1-T038
Task      , S1-T043 Organismo Navbar                  , "Barra de navegación responsive completa."                                                                   , S1-HU10 Componentes Moléculas y Organismos, Critical, To Do, Frontend Dev , Sprint 1, 4h        , ui        ,            0, Navbar responsive                             , -              , "S1-T042;S1-T035"
Epic      , S1-E02 Backend: Usuarios y Auth           , "El corazón del sistema. Identidad."                                                                         , TierOne Project                           , Critical, To Do, Backend Dev  , Sprint 1, 0h        , backend   ,            0, Todas las historias completadas               , -              , -
User Story, S1-HU11 API de Registro                   , "Como usuario no registrado, quiero crear una cuenta enviando mis datos a la API."                           , S1-E02 Backend: Usuarios y Auth           , Critical, To Do, Backend Dev  , Sprint 1, 10h       , backend   ,            5, "Usuario creado en Mongo"                     , -              , -
Task      , S1-T044 Modelo User (Mongo)               , "Crear modelo Eloquent User. Definir $fillable y $casts."                                                    , S1-HU11 API de Registro                   , Critical, To Do, Backend Dev  , Sprint 1, 1h        , backend   ,            0, Extends Authenticatable                       , -              , "S0-T031;S0-T005"
Task      , S1-T045 Request Validation (Register)     , "Crear RegisterRequest. Validar: email unique, pass min 8, terms accepted."                                  , S1-HU11 API de Registro                   , Critical, To Do, Backend Dev  , Sprint 1, 2h        , backend   ,            0, Validación estricta                           , -              , "S1-T044;S0-T006"
Task      , S1-T046 API Resource (User)               , "Crear UserResource para transformar el usuario a JSON (ocultar password/id interno)."                       , S1-HU11 API de Registro                   , Medium  , To Do, Backend Dev  , Sprint 1, 1h        , backend   ,            0, JSON limpio                                   , -              , S1-T044
Task      , S1-T047 Controller Register               , "Implementar método store(). Hashear password con Bcrypt."                                                   , S1-HU11 API de Registro                   , Critical, To Do, Backend Dev  , Sprint 1, 2h        , backend   ,            0, Usuario guardado                              , -              , "S1-T045;S1-T046"
Task      , S1-T048 Ruta API Register                 , "Definir ruta POST /api/v1/auth/register."                                                                   , S1-HU11 API de Registro                   , Critical, To Do, Backend Dev  , Sprint 1, 0.5h      , backend   ,            0, Ruta accesible                                , -              , S1-T047
Task      , S1-T049 Test Unitario Registro            , "Crear test PHPUnit comprobando creación exitosa y fallos de validación."                                    , S1-HU11 API de Registro                   , High    , To Do, Backend Dev  , Sprint 1, 3h        , testing   ,            0, Tests pasando                                 , -              , S1-T048
User Story, S1-HU12 API de Login                      , "Como usuario registrado, quiero obtener un token para acceder a mi cuenta."                                 , S1-E02 Backend: Usuarios y Auth           , Critical, To Do, Backend Dev  , Sprint 1, 8h        , backend   ,            3, "Token Bearer devuelto"                       , -              , -
Task      , S1-T050 Configurar Sanctum (Mongo)        , "Asegurar que PersonalAccessToken funciona con Mongo (requiere override o configuración especial)."          , S1-HU12 API de Login                      , Critical, To Do, Backend Dev  , Sprint 1, 3h        , backend   ,            0, Sanctum activo                                , -              , S0-T031
Task      , S1-T051 Controller Login                  , "Implementar método login(). Validar credenciales y generar token."                                          , S1-HU12 API de Login                      , Critical, To Do, Backend Dev  , Sprint 1, 2h        , backend   ,            0, Login funcional                               , -              , "S1-T050;S1-T044"
Task      , S1-T052 Controller Logout                 , "Implementar método logout() para revocar tokens."                                                           , S1-HU12 API de Login                      , Medium  , To Do, Backend Dev  , Sprint 1, 1h        , backend   ,            0, Logout funcional                              , -              , S1-T051
Task      , S1-T053 Ruta API Login                    , "Definir ruta POST /api/v1/auth/login."                                                                      , S1-HU12 API de Login                      , Critical, To Do, Backend Dev  , Sprint 1, 0.5h      , backend   ,            0, Ruta accesible                                , -              , S1-T051
Task      , S1-T054 Middleware Auth                   , "Probar que el middleware 'auth:sanctum' protege rutas."                                                     , S1-HU12 API de Login                      , Critical, To Do, Backend Dev  , Sprint 1, 1h        , security  ,            0, Rutas protegidas                              , -              , S1-T053
Epic      , S1-E03 Frontend: Integración Auth         , "Conectar pantallas con API."                                                                                , TierOne Project                           , Critical, To Do, Frontend Dev , Sprint 1, 0h        , frontend  ,            0, Todas las historias completadas               , -              , -
User Story, S1-HU13 Pantallas de Acceso               , "Como usuario, quiero formularios visuales para entrar a la plataforma."                                     , S1-E03 Frontend: Integración Auth         , Critical, To Do, Frontend Dev , Sprint 1, 12h       , frontend  ,            5, "Login/Register funcionales"                  , -              , -
Task      , S1-T055 Configurar Axios                  , "Crear instancia axios con baseURL y manejo de headers."                                                     , S1-HU13 Pantallas de Acceso               , Critical, To Do, Frontend Dev , Sprint 1, 1h        , frontend  ,            0, Axios configurado                             , -              , S0-T032
Task      , S1-T056 Auth Context                      , "Crear AuthProvider para guardar estado de sesión (user + token) en app."                                    , S1-HU13 Pantallas de Acceso               , Critical, To Do, Frontend Dev , Sprint 1, 4h        , frontend  ,            0, Contexto global                               , -              , "S1-T055;S1-T051"
Task      , S1-T057 Hook useLogin                     , "Lógica de negocio: llamar API, guardar token, redirigir."                                                   , S1-HU13 Pantallas de Acceso               , High    , To Do, Frontend Dev , Sprint 1, 2h        , frontend  ,            0, Hook funcional                                , -              , S1-T056
Task      , S1-T058 Página Login                      , "Maquetar página usando componente AuthForm."                                                                , S1-HU13 Pantallas de Acceso               , High    , To Do, Frontend Dev , Sprint 1, 2h        , ui        ,            0, Vista terminada                               , -              , "S1-T040;S1-T057;S0-T019"
Task      , S1-T059 Página Register                   , "Maquetar página de registro."                                                                               , S1-HU13 Pantallas de Acceso               , High    , To Do, Frontend Dev , Sprint 1, 2h        , ui        ,            0, Vista terminada                               , -              , "S1-T040;S1-T048;S0-T019"
User Story, S1-HU14 Gestión de Perfil                 , "Como usuario, quiero editar mi perfil y subir mi avatar."                                                   , S1-E03 Frontend: Integración Auth         , High    , To Do, Full Stack   , Sprint 1, 10h       , frontend  ,            5, "Avatar visible en navbar"                    , -              , -
Task      , S1-T060 Backend: Service Upload           , "Crear servicio PHP para subir ficheros a S3 (o local en dev)."                                              , S1-HU14 Gestión de Perfil                 , High    , To Do, Backend Dev  , Sprint 1, 3h        , backend   ,            0, Servicio funcional                            , -              , S0-T030
Task      , S1-T061 Backend: Controller Update        , "Endpoint PATCH /api/v1/me para actualizar datos."                                                           , S1-HU14 Gestión de Perfil                 , High    , To Do, Backend Dev  , Sprint 1, 2h        , backend   ,            0, Update funcional                              , -              , "S1-T054;S1-T060"
Task      , S1-T062 Frontend: Página Perfil           , "Formulario con datos precargados del usuario."                                                              , S1-HU14 Gestión de Perfil                 , High    , To Do, Frontend Dev , Sprint 1, 3h        , ui        ,            0, Vista terminada                               , -              , "S1-T056;S1-T061"
Task      , S1-T063 Frontend: Upload Logic            , "Componente que envía la imagen al backend."                                                                 , S1-HU14 Gestión de Perfil                 , High    , To Do, Frontend Dev , Sprint 1, 2h        , frontend  ,            0, Upload funcional                              , -              , "S1-T060;S1-T038"
Epic      , S2-E01 Backend: Juegos y Torneos          , "Lógica de negocio principal."                                                                               , TierOne Project                           , Critical, To Do, Backend Dev  , Sprint 2, 0h        , backend   ,            0, Todas las historias completadas               , -              , -
User Story, S2-HU15 Catálogo de Juegos                , "Como admin, quiero gestionar los juegos disponibles en la plataforma."                                      , S2-E01 Backend: Juegos y Torneos          , Medium  , To Do, Backend Dev  , Sprint 2, 6h        , backend   ,            3, "CRUD Juegos"                                 , -              , -
Task      , S2-T064 Modelo Game                       , "Crear modelo Game en Mongo (name, slug, image, active)."                                                    , S2-HU15 Catálogo de Juegos                , Medium  , To Do, Backend Dev  , Sprint 2, 1h        , backend   ,            0, Modelo creado                                 , -              , S0-T031
Task      , S2-T065 Seeder Games                      , "Script para poblar DB con CS:GO, LoL, Valorant."                                                            , S2-HU15 Catálogo de Juegos                , Low     , To Do, Backend Dev  , Sprint 2, 1h        , backend   ,            0, DB poblada                                    , -              , S2-T064
Task      , S2-T066 Controller Game Public            , "Endpoint GET /games para listar juegos activos."                                                            , S2-HU15 Catálogo de Juegos                , Medium  , To Do, Backend Dev  , Sprint 2, 2h        , backend   ,            0, Lista funcional                               , -              , S2-T064
User Story, S2-HU16 Gestión de Torneos                , "Como admin, quiero crear torneos para que los usuarios compitan."                                           , S2-E01 Backend: Juegos y Torneos          , Critical, To Do, Backend Dev  , Sprint 2, 12h       , backend   ,            8, "Torneo creado"                               , -              , -
Task      , S2-T067 Modelo Tournament                 , "Modelo Tournament (start_date, prize_pool, max_players). Relación con Game."                                , S2-HU16 Gestión de Torneos                , Critical, To Do, Backend Dev  , Sprint 2, 1h        , backend   ,            0, Modelo creado                                 , -              , "S2-T064;S0-T009"
Task      , S2-T068 Request StoreTournament           , "Validar fechas futuras y premios positivos."                                                                , S2-HU16 Gestión de Torneos                , High    , To Do, Backend Dev  , Sprint 2, 2h        , backend   ,            0, Validación estricta                           , -              , S2-T067
Task      , S2-T069 Controller Tournament CRUD        , "Endpoints store, update, delete (Admin only)."                                                              , S2-HU16 Gestión de Torneos                , Critical, To Do, Backend Dev  , Sprint 2, 4h        , backend   ,            0, CRUD funcional                                , -              , "S2-T068;S1-T054"
Task      , S2-T070 Controller Tournament List        , "Endpoint index con filtros (game_id, status)."                                                              , S2-HU16 Gestión de Torneos                , High    , To Do, Backend Dev  , Sprint 2, 3h        , backend   ,            0, Lista con filtros                             , -              , S2-T067
User Story, S2-HU17 Inscripción a Torneos             , "Como usuario, quiero unirme a un torneo antes de que se llene."                                             , S2-E01 Backend: Juegos y Torneos          , Critical, To Do, Backend Dev  , Sprint 2, 10h       , backend   ,            8, "Inscripción atómica"                         , -              , -
Task      , S2-T071 Servicio CheckCupo                , "Validar si quedan plazas libres."                                                                           , S2-HU17 Inscripción a Torneos             , Critical, To Do, Backend Dev  , Sprint 2, 2h        , backend   ,            0, Validación correcta                           , -              , S2-T067
Task      , S2-T072 Controller Join                   , "Endpoint POST /tournaments/{id}/join."                                                                      , S2-HU17 Inscripción a Torneos             , Critical, To Do, Backend Dev  , Sprint 2, 2h        , backend   ,            0, Join funcional                                , -              , "S2-T071;S1-T054"
Task      , S2-T073 Mongo Atomic Push                 , "Usar operador $push con condición para evitar race conditions (overbooking)."                               , S2-HU17 Inscripción a Torneos             , Critical, To Do, Backend Dev  , Sprint 2, 4h        , backend   ,            0, Investigar concurrency mongo                  , -              , S2-T072
Task      , S2-T074 Test Inscripción                  , "Test unitario simulando 100 inscripciones simultáneas."                                                     , S2-HU17 Inscripción a Torneos             , High    , To Do, Backend Dev  , Sprint 2, 2h        , testing   ,            0, Tests concurrentes                            , -              , S2-T073
Epic      , S2-E02 Frontend: Torneos UI               , "Interfaz visual de competición."                                                                            , TierOne Project                           , High    , To Do, Frontend Dev , Sprint 2, 0h        , frontend  ,            0, Todas las historias completadas               , -              , -
User Story, S2-HU18 Listado de Torneos                , "Como usuario, quiero ver los torneos disponibles filtrados por juego."                                      , S2-E02 Frontend: Torneos UI               , High    , To Do, Frontend Dev , Sprint 2, 8h        , ui        ,            5, "Grid navegable"                              , -              , -
Task      , S2-T075 Hook useGames                     , "Fetch de juegos activos."                                                                                   , S2-HU18 Listado de Torneos                , Medium  , To Do, Frontend Dev , Sprint 2, 1h        , frontend  ,            0, Hook funcional                                , -              , S2-T066
Task      , S2-T076 Organismo Filtros                 , "Barra lateral o superior para filtrar."                                                                     , S2-HU18 Listado de Torneos                , Medium  , To Do, Frontend Dev , Sprint 2, 3h        , ui        ,            0, Filtros visuales                              , -              , S1-T035
Task      , S2-T077 Página TournamentList             , "Grid de tarjetas conectada a API."                                                                          , S2-HU18 Listado de Torneos                , High    , To Do, Frontend Dev , Sprint 2, 4h        , ui        ,            0, Vista terminada                               , -              , "S2-T070;S2-T075;S0-T021"
User Story, S2-HU19 Detalle e Inscripción             , "Como usuario, quiero ver la info del torneo y apuntarme."                                                   , S2-E02 Frontend: Torneos UI               , Critical, To Do, Frontend Dev , Sprint 2, 8h        , ui        ,            5, "Botón Join funcional"                        , -              , -
Task      , S2-T078 Página TournamentDetail           , "Vista con cabecera, info y lista participantes."                                                            , S2-HU19 Detalle e Inscripción             , High    , To Do, Frontend Dev , Sprint 2, 4h        , ui        ,            0, Vista terminada                               , -              , S2-T070
Task      , S2-T079 Botón Join Lógica                 , "Manejo de estados (Loading, Success, Error, Full)."                                                         , S2-HU19 Detalle e Inscripción             , Critical, To Do, Frontend Dev , Sprint 2, 2h        , frontend  ,            0, Lógica robusta                                , -              , "S2-T072;S1-T035"
Task      , S2-T080 Feedback Visual                   , "Toasts de éxito o error al inscribirse."                                                                    , S2-HU19 Detalle e Inscripción             , Medium  , To Do, Frontend Dev , Sprint 2, 1h        , ui        ,            0, Feedback claro                                , -              , S2-T079
Epic      , S3-E01 Backend: E-commerce                , "Venta de Merchandising."                                                                                    , TierOne Project                           , Medium  , To Do, Backend Dev  , Sprint 3, 0h        , backend   ,            0, Todas las historias completadas               , -              , -
User Story, S3-HU20 Gestión de Productos              , "Como admin, quiero crear productos para vender."                                                            , S3-E01 Backend: E-commerce                , Medium  , To Do, Backend Dev  , Sprint 3, 6h        , backend   ,            3, "CRUD Productos"                              , -              , -
Task      , S3-T081 Modelo Product                    , "Esquema Mongo (name, price_cents, stock, image)."                                                           , S3-HU20 Gestión de Productos              , Medium  , To Do, Backend Dev  , Sprint 3, 1h        , backend   ,            0, Modelo creado                                 , -              , S0-T010
